smiles,pred,max_tan_to_sd1_actives
Oc1cc(Cl)c(Cl)cc1-n1cc(Cl)c(Cl)c1Cl,0.8047861456871033,0.25641027
COc1ccc(Cl)cc1NC(=O)[C@H]1C[C@H](C(C)O)N[C@]12C(O)=Nc1ccccc12,0.8041235208511353,0.23300971
CCC(C)[C@H]1OC(=O)[C@H](CC(C)C)N(C)C(O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C1=O,0.8014026284217834,0.25773194
CCC(C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](CC(C)C)N(C)C(O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C1=O,0.8010290265083313,0.25773194
COc1cc(C(CC(=O)N2CCCN(C)CC2)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.7984186410903931,0.21
COc1ccc(Cl)cc1NC(=O)[C@H]1C[C@H](C(C)O)N[C@]12C(O)=Nc1ccc(Br)cc12,0.7983437180519104,0.26213592
COc1ccc(N2C(=O)C3(CCCCC3)[C@@H]2c2ccc(Br)cc2)cc1,0.7957674264907837,0.2923077
CO[C@@H]1[C@@H]2[C@@H](C[C@@]34SS[C@]5(C[C@H]6C(=O)C[C@H](O)[C@H](O)[C@H]6N5C3=O)C(=O)N24)C(=O)C[C@@H]1O,0.7954533100128174,0.23188406
COc1ccc(N2C(=O)C3(CCCCC3)[C@H]2c2ccc(Br)cc2)cc1,0.7954063415527344,0.2923077
COC1=C(C)C(=O)C2=C(C1=O)C1COC(O)=NC13C1C(CN23)N1C,0.7946518659591675,0.2375
CO[C@@H]1/C=C(\C)C[C@H](/C=C/C#C[C@H]2C[C@@H]2Cl)OC(=O)C[C@]2(O)C[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](C)(O)[C@H]3OC)[C@@H](C)[C@@H](O2)[C@@H]1C,0.7927043437957764,0.23966943
C[C@@H](C[C@H]1C(=O)N(C)[C@](O)(C[C@H](C)C(Cl)(Cl)Cl)C(=O)N1C)C(Cl)(Cl)Cl,0.7925371527671814,0.17142858
O=C1C[C@@H]2SS[C@@]34C[C@@H]1[C@@H]([C@H]2O)N3C(=O)[C@@]12C[C@H]3C(=O)C[C@H](SS1)[C@H](O)[C@H]3N2C4=O,0.7923130393028259,0.21538462
C[C@@H](C[C@H]1C(=O)N(C)[C@@](O)(C[C@H](C)C(Cl)(Cl)Cl)C(=O)N1C)C(Cl)(Cl)Cl,0.7921793460845947,0.17142858
C[C@H](OS(=O)(=O)O)[C@@H]1C(=O)N2C(C(=O)O)=C([S+]([O-])CO)C[C@H]12,0.7918548583984375,0.25641027
C[C@@H](C[C@H]1C(=O)N(C)C(O)(C[C@H](C)C(Cl)(Cl)Cl)C(=O)N1C)C(Cl)(Cl)Cl,0.7910231351852417,0.17142858
O=C1C[C@H]2SS[C@@]34C[C@@H]1[C@@H]([C@H]2O)N3C(=O)[C@@]12C[C@H]3C(=O)C[C@@H](SS1)[C@H](O)[C@H]3N2C4=O,0.7903698682785034,0.21538462
O=C1C[C@H](O)[C@H](O)[C@@H]2[C@H]1C[C@@]13SS[C@]4(C[C@H]5[C@@H]([C@@H](O)C=C[C@@H]5O)N4C1=O)C(=O)N23,0.7896804213523865,0.26086956
CO[C@H]1[C@H](O)C2=NC(O)=N[C@@]23N2c4cc(Br)c(Br)cc4[C@H]4CC(=O)N1[C@]42C[C@H](Cl)C3(C)C,0.7880393266677856,0.16129032
O=C1[C@@H]2Cc3c([nH]c4ccccc34)CN2C(=O)CN1/N=C/c1cc(Br)ccc1O,0.787803590297699,0.21176471
CO[C@H]1CC(=O)[C@H]2C[C@@]34SS[C@]5(C[C@@H]6C(=O)C[C@H](OC)[C@H](O)[C@H]6N5C3=O)C(=O)N4[C@@H]2[C@H]1O,0.7874558568000793,0.26153848
O=C1[C@H]2Cc3c([nH]c4ccccc34)CN2C(=O)CN1/N=C/c1cc(Br)ccc1O,0.7871047258377075,0.21176471
Oc1cc(Cl)c(Cl)c(Cl)c1-n1ccc(Cl)c1Cl,0.7862076163291931,0.275
CO[C@H]1CC(=O)[C@H]2C[C@@]34SS[C@]5(C[C@@H]6C(=O)C[C@H](OC)[C@H](O)[C@@H]6N5C3=O)C(=O)N4[C@H]2[C@H]1O,0.7861608266830444,0.26153848
S=C(NCCCCCCNC(=S)NC1CCCCC1)NC1CCCCC1,0.7828275561332703,0.19148937
CO[C@H]1CC(=O)[C@@H]2C[C@@]34SS[C@]5(C[C@H]6C(=O)C[C@H](O)[C@H](O)[C@H]6N5C3=O)C(=O)N4[C@@H]2[C@H]1O,0.7828224301338196,0.24637681
CCCCCCCCCCCCCCCCCC(=O)NCCOc1ccccc1Cl,0.7821642756462097,0.28070176
CC[C@H](C)[C@H](NC(=O)CC(C1=C(O)[C@@]2(Oc3c(Cl)c(OC)cc(OC)c3C2=O)[C@H](C)CC1=O)c1ccc(O)c(OC)c1)C(N)=O,0.7820258140563965,0.23232323
CON1C(=O)[C@H]2NC(=O)[C@@]13Oc1cc(O)c(Cl)cc1[C@@H]3SSSS2,0.7813259959220886,0.1780822
CON1C(=O)C2NC(=O)[C@@]13Oc1cc(O)c(Cl)cc1[C@@H]3SSSS2,0.7808507084846497,0.1780822
COc1cc(OC)c2c(c1Cl)O[C@@]1(C(=O)/C(=C(\C)NCC(O)c3cccc(O)c3)C(=O)C[C@H]1C)C2=O,0.7807101011276245,0.20353982
CON1C(=O)[C@H]2NC(=O)[C@]13Oc1cc(O)c(Cl)cc1[C@@H]3SS2,0.7793877720832825,0.18309858
C/C=C/c1c(O)c(OC)c(Cl)c(OC)c1Cl,0.7771974802017212,0.24390244
CC(C)c1ccc(N2C(=S)N[C@H]3[C@@H](O)[C@H](O)C[C@@H](C(=O)Nc4ccccc4)[C@@H]32)cc1,0.7770137190818787,0.24324325
